Id2,Geography,Total; Estimate; Households,Total; Estimate; Population 18 to 24 years,Gross Rent,Housing Units,Pop,Total for all sectors,Year,"Agriculture, forestry, fishing and hunting_norm","Mining, quarrying, and oil and gas extraction_norm",Utilities_norm,Construction_norm,Manufacturing_norm,Wholesale trade_norm,Retail trade_norm,Transportation and warehousing_norm,Information_norm,Finance and insurance_norm,Real estate and rental and leasing_norm,"Professional, scientific, and technical services_norm",Management of companies and enterprises_norm,Administrative and support and waste management and remediation services_norm,Educational services_norm,Health care and social assistance_norm,"Arts, entertainment, and recreation_norm",Accommodation and food services_norm,Other services (except public administration)_norm,Industries not classified_norm,Pop norm travel time,Est_%_change
12260,"Augusta-Richmond County, GA-SC Metro Area",204147,57474,68722,239519,568161,10343,2012,0.006767862,0.001450256,0.004447452,0.089722518,0.030552064,0.038480131,0.179251668,0.026491347,0.013439041,0.06448806,0.041960746,0.095426859,0.004544136,0.051725805,0.012085468,0.123948564,0.014405878,0.093106449,0.107125592,0.000580102,9.451203092,0.012233314
12700,"Barnstable Town, MA Metro Area",89766,15358,16530,160544,215423,8262,2012,0.005204551,0.00060518,0.001210361,0.121762285,0.023238925,0.025175502,0.182401356,0.017308158,0.016702977,0.038005326,0.039699831,0.088719438,0.002904866,0.073347858,0.011740499,0.097797144,0.02771726,0.137860082,0.087388042,0.001210361,10.32988585,0.017989157
12940,"Baton Rouge, LA Metro Area",298690,95841,96917,335867,815298,17784,2012,0.002586595,0.004048583,0.003823662,0.081533963,0.033906883,0.056061628,0.16194332,0.02817139,0.013439046,0.076135852,0.041835358,0.121063878,0.006916329,0.04745839,0.012539361,0.108580747,0.013382816,0.084907782,0.100708502,0.000955915,11.93065603,0.003328632
12980,"Battle Creek, MI Metro Area",53182,11927,17256,60747,135099,2618,2012,0.001527884,0.002291826,0.002291826,0.068372804,0.057295646,0.040106952,0.186783804,0.026355997,0.011459129,0.063789152,0.029793736,0.073338426,0.006111536,0.046218487,0.010695187,0.122994652,0.019480519,0.107333843,0.121848739,0.001909855,8.038919607,-0.019475655
13020,"Bay City, MI Metro Area",43967,8867,9900,48067,106935,2262,2012,0.000442087,0.002210433,0.002210433,0.08576481,0.054376658,0.042882405,0.187886826,0.018125553,0.009725906,0.056145004,0.028293546,0.067197171,0.006189213,0.039787798,0.011052166,0.145446508,0.018567639,0.103006189,0.118921309,0.001768347,8.795483237,0.003549246
13140,"Beaumont-Port Arthur, TX Metro Area",143663,39347,43615,165079,389980,7965,2012,0.003389831,0.007156309,0.004896422,0.074325173,0.038543628,0.05047081,0.182172003,0.034149404,0.014563716,0.068424357,0.043188952,0.082360326,0.005021971,0.041556811,0.009792844,0.129190207,0.011424984,0.087507847,0.11136221,0.000502197,8.342504744,0.015296367
13380,"Bellingham, WA Metro Area",79029,30057,29797,91290,205262,6151,2012,0.010892538,0.001788327,0.003088929,0.118679889,0.052511787,0.053162087,0.133961957,0.032840189,0.015282068,0.049097708,0.051211185,0.111038855,0.003901805,0.046008779,0.015282068,0.106811901,0.018858722,0.083238498,0.091692408,0.000650301,9.137736162,0.00555828
13740,"Billings, MT Metro Area",65215,13843,20250,71344,161487,5953,2012,0.003359651,0.01192676,0.003527633,0.125650932,0.032588611,0.062657484,0.132202251,0.042835545,0.016462288,0.060977658,0.049386864,0.104317151,0.004871493,0.050562741,0.009071057,0.098605745,0.027549135,0.077103981,0.085503108,0.000839913,10.23119508,0.030109015
13780,"Binghamton, NY Metro Area",101258,28379,31379,112305,248538,5077,2012,0.001378767,0.002166634,0.001378767,0.109119559,0.042741777,0.049635612,0.169391373,0.023439039,0.020090605,0.054559779,0.033484341,0.071695883,0.006302935,0.047665944,0.009454402,0.09887729,0.019105771,0.120346661,0.118967894,0.000196967,8.915035125,-0.007040876
13820,"Birmingham-Hoover, AL Metro Area",437667,101236,133784,502814,1136650,25304,2012,0.003635789,0.002766361,0.004505217,0.075521657,0.037701549,0.072360101,0.168985141,0.024502055,0.017704711,0.078683212,0.03908473,0.105358837,0.008852355,0.047186216,0.009840341,0.099786595,0.011025925,0.07955264,0.112432817,0.000513753,10.78006862,0.002297394
